Company, Move
Plzensky Prazdroj,"Российско-французская компания PowerJet, выпускающая двигатели SaM146 для самолета Superjet 100, из-за санкций прекратила их техобслуживание и ремонт, сообщил ""Интерфаксу"" источник, близкий к авиапрому.
"
Porsche,"Итальянский дом моды Prada приостановил продажи в России
"
PowerJet,"Американская PVH Corp., владеющая брендами Tommy Hilfiger, Calvin Klein, Warner's и др., приняла решение временно закрыть свои магазины и приостановить все коммерческие операции в РФ и Белоруссии с 7 марта, сообщила компания.
"
Prada,"Puma объявила о приостановке работы в России. Компания сообщила, что разрывает контракт с российской федерацией баскетбола, временно приостанавливает поставки в Россию и работу фирменных магазинов.
"
PVH Corp.,"Австрийский Raiffeisen Bank увеличили число вакансий в российских подразделениях после того, как в РФ было решено блокировать сделки по продаже дочерних компаний иностранных банков — Reuters
"
Puma,"Австрийский Raiffeisen Bank увеличили число вакансий в российских подразделениях после того, как в РФ было решено блокировать сделки по продаже дочерних компаний иностранных банков — Reuters
"
Rai,"Британская Reckitt Benckiser, владеющая брендами Nurofen, Strepsils, Durex и Vanish, начинает процесс передачи владения российским бизнесом — компания
"
Raiffeisen Bank,"Reebok готовятся возобновить работу в России. По словам источника Mash, Reebok планируют открыться уже в июле.
"
Reckitt Benckiser,"Бывший завод группы Renault в Москве останется российским, возможности выкупить его обратно у бывшего собственника нет, заявил заместитель мэра столицы Максим Ликсутов.
"
Reebok,"RESERVED приостановил работу интернет-магазина, обычные магазины продолжают работу — Коммерсант
"
Renault,"Rolex прекращает экспорт товаров в Россию — Bloomberg
"
RESERVED,"Rockstar Games — разработчик серии игр GTA и Red Dead Redemption — прекратила продажи игр на территории России
"
Rolex,"Подразделение по управлению активами состоятельных клиентов инвестбанка Rothschild & Co. перестало принимать новых клиентов, имеющих российское гражданство, сообщило агентство Bloomberg со ссылкой на осведомленные источники.
"
Rockstar Games,"RuTracker отключал доступ пользователям из России и Китая — из-за наплыва спама и ботов, но сейчас его вернули — заявление сервиса
"
Rothschild & Co.,"Финский холдинг S-Group, управляющий сетями супермаркетов Prisma и отелями Sokos, сообщил, что прекращает операционную деятельность в России из-за военной операции на Украине.
"
RuTracker,"Samsung убрала «Z» в названиях устройств на сайте в некоторых странах Европы. «Z» была наименованием серии складных телефонов с начала производства в 2020 году. Официальная причина исчезновения буквы не раскрывается.
"
S-Group,"Немецкий производитель программного обеспечения для организаций SAP останавливает свою деятельность в России
"
Saito,"Компания Shell начала выход из проекта по добыче СПГ «Сахалин-2», сообщила газета Financial Times со ссылкой на источники.  По информации издания, сделка может обернуться «кошмаром» для компании.
"
Samsung,"Медиагруппа Shkulev Media Holding приостановила выпуск журналов Elle, Elle Decoration, Elle Girl и Maxim в России
"
SAP,"Ритейлер Selgros Cash&Carry, управляющий в РФ гипермаркетами мелкооптовой торговли, передаст российский бизнес менеджменту, магазины продолжат работу
"
Shell,"Sephora продаст российские бутики под брендом Ile de Beauté локальному директору — AFP со ссылкой на заявление
"
Shkulev Media Holding,"Siemens с 13 мая разрывает с РЖД сервисные контракты на обслуживание, включая обслуживание ""Сапсанов""
"
Selgros Cash&Carry,"Китайская нефтяная компания Sinopec приостановила переговоры с ""Сибуром"" об инвестировании до 500 миллионов долларов в новый газохимический завод в России, сообщает агентство Reuters со ссылкой на источники, знакомые с ситуацией.
"
Sephora,"Мессенджер Slack начал отключать своих клиентов в России — пресс-релиз компании
"
Siemens,"Компания Sony Music приостановила деятельность в РФ — официально
"
Sinopec,"Компания Sony Pictures Entertainment заявила, что приостанавливает всю деятельность в России из-за ситуации с Украиной, пишет издание Variety.
"
Skoda,"Компания Sony Pictures Entertainment заявила, что приостанавливает всю деятельность в России из-за ситуации с Украиной, пишет издание Variety.
"
Slack,"Spotify удален из AppStore и Google Play для пользователей из России
"
Sony,"Напитки Sprite не будут продавать в зеленых пластиковых бутылках из-за их неэкологичности — CNN
"
Sony Music,"Тимати заявил о полном приобретении всех активов Starbucks в России, открытие первых точек состоится в августе, сейчас команда работает над поиском нового названия
"
Sony Pictures Entertainment,"Поставки пива в Россию из-за событий на Украине прекратили Staropramen - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
"
Spotify,"Производитель бумаги SvetoCopy объявил об уходе из России
"
Sprite,"Компания Swarovski приостанавливает продажи на территории России
"
Starbucks,"Компания TeamViewer официально объявила об уходе из России и Белоруссии и закрытии сервиса для этих стран
"
Staropramen,"Tetra Pak передает свое российское подразделение местному руководству
"
SvetoCopy,"Американский ювелирный ритейлер Tiffany & Co отказался от закупок продукции из России, сообщает Marketwatch со ссылкой на представителя компании. ""Tiffany приостановила закупку всех необработанных алмазов из России, а также бриллиантов российского происхождения независимо от того, где они огранены"", - говорится в сообщении представителя Tiffany.
"
Swarovski,"Финский производитель лакокрасочной продукции Tikkurila , имеющий три производственные площадки в России, решил покинуть российский рынок, следует из пресс-релиза организации.
"
Tadano Ltd,"TikTok не планирует снимать ограничения на работу в России, размещение видео от пользователей из РФ по-прежнему остается недоступным, сообщили в пресс-службе соцсети.
"
TeamViewer,"Организаторы международного экзамена по английскому TOEFL запретили сдавать его гражданам России
"
Tetra Pak,"Японская корпорация Toshiba сообщила, что приостанавливает прием новых заказов и инвестиций в Россию, сообщили в пресс-службе компании.
"
Tiffany & Co,"Французская компания Total начала приостановку деятельности в России — заявление (https://totalenergies.com/media/news/press-releases/russia-totalenergies-shares-its-principles-conduct)
"
Tikkurila,"Тoyota во вторник останавливает работу всех своих заводов в Японии ""из-за кибератак на ее крупнейших клиентов""
"
TikTok,"Twitch остановил выплаты российским блогерам
"
TOEFL,"Uber Technologies планирует ускорить выход из MLU B.V. - совместного предприятия с ""Яндекс.Такси"" на фоне ситуации на Украине, сообщает The New York Times со ссылкой на пресс-службу американской компании.
"
Toshiba,"Разработчик компьютерных игр Ubisoft приостанавливает продажи в России
"
Total,"Unilever (бренды Dove, Axe, Rexona, Чистая Линия, Domestos, Cif и другие) приостановит экспорт продукции в РФ, поставки произведённых в России товаров будут продолжаться внутри страны — Bloomberg
"
Тoyota,"Unilever (бренды Dove, Axe, Rexona, Чистая Линия, Domestos, Cif и другие) приостановит экспорт продукции в РФ, поставки произведённых в России товаров будут продолжаться внутри страны — Bloomberg
"
Twitch,"Магазины Uniqlo официально приостановили работу в Москве
"
Uber Technologies,"Компания Universal Pictures закроет свой российский офис. Информацию об окончательном уходе мейджора из России подтвердил источник «Бюллетеня Кинопрокатчика» в компании. Как отмечено в сообщении, которое Universal ранее отправила ряду кинотеатров, операции компании будут свернуты в течение нескольких месяцев.
"
Ubisoft,"Американская логистическая корпорация UPS приостановила всю коммерческую деятельность в России и Белоруссии — Reuters
"
Unilever,"Крупнейшая фриланс-биржа Upwork забанила пользователей из России и Белоруссии. Фрилансеры из этих стран получили на почту письмо, в котором им предлагается переехать в другую страну, чтобы получить доступ к платформе.
"
Uniqlo,"Финский производитель молочных продуктов Valio объявил о продаже российского бизнеса группе ""Велком""
"
Universal,"Компания Valve отключила все основные способы оплаты на платформе для россиян
"
UPS,"Магазины Victoria's Secret временно приостанавливают работу в России — заявление компании
"
Upwork,"Visa прекратит приём запросов авторизации российских банков с 00:01 мск 10 марта, сообщили в платёжной системе.
"
Valio,"Крупнейший международный разработчик программного обеспечения для виртуализации американская VMware с 5 марта отключила поддержку клиентов в России, рассказал источник СМИ на рынке центров обработки данных (ЦОД).
"
Valve,"Заводы BMW и Volkswagen приостанавливают работу из-за нехватки деталей, которые импортировались из Украины, сообщает газета Financial Times.  По оценке Auto Analysis, которую приводит газета, на Украину, в частности, приходится около пятой части поставок электрокабелей. ""Проблема с кабелями заключается в том, что они фундаментальны. Вы не можете начать сборку даже некомплектного автомобиля без них"", - отметил управляющий директор консалтинговой компании Alix Partners Александр Мариан (Alexandre Marian).
"
Victoria's Secret,"Volkswagen ищет покупателя на свой завод в Калуге, сообщил источник «Ведомостей», знакомый с планами немецкой компании. Потенциальным покупателем актива он называет компанию «Азия Авто» из Казахстана. У этой компании есть лицензия на выпуск автомобилей Volkswagen и Skoda. Это позволит сохранить производство машин этих марок в Калуге, но уже под контролем других владельцев, а немецкому концерну – выйти из прямого владения активом, объясняет собеседник издания.
"
Visa,"Volkswagen ищет покупателя на свой завод в Калуге, сообщил источник «Ведомостей», знакомый с планами немецкой компании. Потенциальным покупателем актива он называет компанию «Азия Авто» из Казахстана. У этой компании есть лицензия на выпуск автомобилей Volkswagen и Skoda. Это позволит сохранить производство машин этих марок в Калуге, но уже под контролем других владельцев, а немецкому концерну – выйти из прямого владения активом, объясняет собеседник издания.
"
VMware,"Компания Volvo Group сообщила РИА Новости, что не принимала решение об уходе с российского рынка
"
Volkswagen,"Финская компания VR возобновляет грузоперевозки с Россией спустя три дня после заявления об их прекращении
"
Volvo,"Компания Wargaming, разработчик игр World of Tanks, World of Warplanes и World of Warships, объявила о своем уходе из России и Белоруссии
"
VR,"WarnerMedia, в который входят входят Warner Bros., CNN, HBO и HBO Max, сообщил, что приостановит лицензирование нового контента в стране.
"
Wargaming,"Одна из двух ведущих международных баз данных научного цитирования Web of Science, которая предоставляет сведения о публикациях и их цитировании в научных журналах, стала недоступна для исследователей из России, сообщил вице-президент РАН Алексей Хохлов.
"
Warner Bros.,"Продукция марки Wella (https://t.me/bbbreaking/125979) подпадает под действие механизма параллельного импорта и никаких препятствий для поставок указанной продукции через альтернативные логистические каналы нет, заявили в пресс-службе Минпромторга РФ.  Также Минпромторг России напоминает, что краску для волос на территории Российской Федерации производят компании Юникосметик, Русская косметика, БИГ, Эстель и др.
"
WarnerMedia.,"Whirlpool продает российский бизнес турецкой Arcelik, сумма сделки в пределах 220 миллионов евро. По итогам сделки Arcelik получит производственные мощности в Липецке, позволяющие выпускать 2,8 млн холодильников и стиральных машин в год.
"
Web of Science,"Wintershall Dea отказывается от реализации новых проектов по добыче нефти и газа в России — официально
"
Wella,"Американская корпорация Xerox Holdings, занимающаяся производством копировальных аппаратов, приостановила экспорт в Россию своих товаров, сообщил портал MarketWatch со ссылкой на главного финансового директора компании Ксавье Хейсса.
"
Whirlpool,"Xiaomi сократили поставки смартфонов в Россию минимум в два раза — Financial Times
"
Wintershall,"Финский строительный концерн YIT приостанавливает инвестиции в земельные участки и строительство жилья на территории России, сообщает пресс-служба YIT.
"
Xerox Holdings,"Yum! Brands (владельцы KFC и Pizza Hut) ведут переговоры о продаже всех ресторанов KFC в России местным операторам
"
